# Forge decision chain, generated, do not edit
# Each line: <id> <status> <fingerprint> <links-to>

001 decided  732eaf1192154e4c → genesis
002 decided  b4bd2c03852b86d6 → 732eaf1192154e4c
003 decided  42d7e26a4cd7e95c → b4bd2c03852b86d6
004 decided  55a1e4eb08dba293 → 42d7e26a4cd7e95c
005 decided  7e504eb64bf48eb2 → 55a1e4eb08dba293
006 decided  f0b5bbedae85e160 → 7e504eb64bf48eb2
007 decided  2afb999612f90bbf → f0b5bbedae85e160
008 decided  54a6e5cda722cba2 → 2afb999612f90bbf
009 decided  7620ccca6b539ede → 54a6e5cda722cba2
010 decided  3938a36e2ea6483b → 7620ccca6b539ede
011 decided  6ca1d838ae6d490c → 3938a36e2ea6483b
012 decided  6f07f1478e649032 → 6ca1d838ae6d490c
013 decided  ddc049d75cf669f8 → 6f07f1478e649032
014 decided  abcc1fbce66d672c → ddc049d75cf669f8
015 decided  02e433c5e286549e → abcc1fbce66d672c
016 decided  462b8c255a99e690 → 02e433c5e286549e
017 decided  14f8f15c65b3bc9d → 462b8c255a99e690
018 decided  d14f670ced9d6a3d → 14f8f15c65b3bc9d
019 decided  5ac98f48584fbf15 → d14f670ced9d6a3d
020 decided  4024119786bfd98f → 5ac98f48584fbf15
021 decided  8c58366ac6e39b41 → 4024119786bfd98f
022 decided  22003155e707b833 → 8c58366ac6e39b41
